Feature,Coefficient,Odds_Ratio
categorical__native_country_Portugal,0.13858764535229054,1.1486503510231836
categorical__native_country_Puerto-Rico,-0.2259412284789937,0.7977649861495661
categorical__native_country_Scotland,-0.06380302002150591,0.9381897859343779
categorical__native_country_South,-0.7502669702107341,0.47224046177490053
categorical__native_country_Taiwan,0.1893942965340065,1.208517372762664
categorical__native_country_Thailand,-0.1805728405994434,0.8347918717419419
categorical__native_country_Trinadad&Tobago,-0.23487790963279961,0.7906673766064518
categorical__native_country_United-States,0.26702303057670396,1.3060705255417016
categorical__native_country_Vietnam,-0.6857519373299306,0.5037113277866073
categorical__native_country_Yugoslavia,0.7090056361625587,2.031969736524295
categorical__age_bucket_25-34,0.24728893115090278,1.280549049843284
categorical__age_bucket_35-44,0.5514302902946026,1.7357338465666217
categorical__age_bucket_45-54,0.5626871015114253,1.7553830610607437
categorical__age_bucket_55-64,-0.03873437031360203,0.9620062126187816
categorical__age_bucket_65+,-1.118164756981071,0.32687914714888433
categorical__age_bucket_<25,-1.0199292122387438,0.3606204667850887
categorical__hours_bin_extreme,0.29624186330014574,1.344795374148613
categorical__hours_bin_overtime,0.3951099513496104,1.4845474099389575
categorical__hours_bin_part-time,-0.531186351823272,0.5879070911459763
categorical__hours_bin_reduced,-0.9484954037275956,0.38732335053049416
categorical__hours_bin_standard,-0.027092075675420987,0.9732716227565125
